Fecha;P55_5
2015/01;62.7
2015/02;28.3
2015/03;85.4
2015/04;72.3
2015/05;63.7
2015/06;153.5
2015/07;136.5
2015/08;67.1
2015/09;24
2015/10;57.4
2015/11;70.4
2015/12;29.1
2016/01;38.4
2016/02;48.5
2016/03;80.9
2016/04;160.5
2016/05;50
2016/06;136.2
2016/07;97.7
2016/08;37.4
2016/09;100.2
2016/10;63.5
2016/11;58.3
2016/12;54.5
2017/01;87
2017/02;73.7
2017/03;133.9
2017/04;52.7
2017/05;85.7
2017/06;104.7
2017/07;104.9
2017/08;88
2017/09;63.7
2017/10;42.3
2017/11;91.9
2017/12;64.6
2018/01;86.1
2018/02;62
2018/03;54.7
2018/04;112.9
2018/05;64.3
2018/06;67.3
2018/07;65.1
2018/08;77.6
2018/09;86.1
2018/10;103.1
2018/11;149.3
2018/12;74.2
2019/01;67.7
2019/02;85.6
2019/03;96.3
2019/04;
2019/05;
2019/06;118.4
2019/07;127.8
2019/08;
2019/09;60.9
2019/10;104.5
2019/11;68.5
2019/12;67.4
2020/01;82.6
2020/02;63.7
2020/03;31.7
2020/04;50.4
2020/05;
2020/06;142.6
2020/07;144.5
2020/08;52.5
2020/09;104.3
2020/10;49.8
2020/11;125.6
2020/12;58
2021/01;64.6
2021/02;75.2
2021/03;209.4
2021/04;
2021/05;126.7
2021/06;116.7
2021/07;92
2021/08;73.7
2021/09;112.8
2021/10;86.9
2021/11;57.4
2021/12;51.8
2022/01;33
2022/02;60.1
2022/03;60.5
2022/04;80.9
2022/05;104.9
2022/06;158.8
2022/07;133.3
2022/08;
2022/09;
2022/10;
2022/11;
2022/12;54.9
2023/01;70.4
2023/02;40.6
2023/03;124.8
2023/04;98.8
2023/05;91.3
