Fecha,P55_Predicho
2024-07-01,99.732
2024-08-01,82.345
2024-09-01,95.265
2024-10-01,74.128
2024-11-01,51.736
2024-12-01,41.02
2025-01-01,33.741
2025-02-01,46.618
2025-03-01,70.077
2025-04-01,75.711
2025-05-01,89.804
2025-06-01,126.848
2025-07-01,108.252
2025-08-01,73.242
2025-09-01,86.931
2025-10-01,59.339
2025-11-01,62.861
2025-12-01,36.806
2026-01-01,36.632
2026-02-01,44.306
2026-03-01,101.915
2026-04-01,91.43
2026-05-01,88.961
2026-06-01,109.187
