Fecha,P42_Predicho
2024-07-01,150.662
2024-08-01,134.912
2024-09-01,116.752
2024-10-01,85.264
2024-11-01,77.793
2024-12-01,81.884
2025-01-01,77.704
2025-02-01,61.36
2025-03-01,73.118
2025-04-01,103.357
2025-05-01,134.301
2025-06-01,152.865
2025-07-01,150.917
2025-08-01,135.167
2025-09-01,117.006
2025-10-01,85.519
2025-11-01,78.047
2025-12-01,82.139
2026-01-01,77.959
2026-02-01,61.615
2026-03-01,73.373
2026-04-01,103.612
2026-05-01,134.556
2026-06-01,153.12
