Fecha,P55_5_Predicho
2023-06-01,99.03816267946095
2023-07-01,98.35462103667028
2023-08-01,90.63775751725126
2023-09-01,94.1331940560092
2023-10-01,84.04107527840877
2023-11-01,82.09147591029328
2023-12-01,83.91584118026583
2024-01-01,79.11205262821473
2024-02-01,84.48951925940777
2024-03-01,83.4980950977507
2024-04-01,88.02144341035857
2024-05-01,98.35215964291412
2024-06-01,101.73405640187697
2024-07-01,101.88911853210787
2024-08-01,98.65663571382319
2024-09-01,92.95744050151916
2024-10-01,84.67509760885613
2024-11-01,83.3959522672696
2024-12-01,83.37946110565345
2025-01-01,79.31472679921916
2025-02-01,78.12563017566728
2025-03-01,89.23758988768299
2025-04-01,90.73614417707549
2025-05-01,95.60080000938316
