Fecha,P43_33_Predicho
2023-07-01,135.76562732844326
2023-08-01,134.9861857110792
2023-09-01,124.08050155563582
2023-10-01,98.65351497314414
2023-11-01,89.53204721368134
2023-12-01,76.32901227439227
2024-01-01,77.28701579392832
2024-02-01,78.9646591750842
2024-03-01,102.59350891093474
2024-04-01,115.82106255852177
2024-05-01,126.9328909379509
2024-06-01,129.1639323753407
2024-07-01,125.58954399150228
2024-08-01,121.1470456305115
2024-09-01,118.51552579405164
2024-10-01,95.03506369248036
2024-11-01,86.4302318406285
2024-12-01,76.67317050665383
2025-01-01,76.22638156485493
2025-02-01,80.42799347843517
2025-03-01,99.7438868862002
2025-04-01,110.27091481481472
2025-05-01,118.77300997194152
2025-06-01,124.47112522126017
