Fecha,P55_5_Predicho
2023-06-01,99.09924256328503
2023-07-01,91.98502476575425
2023-08-01,77.58750182314671
2023-09-01,90.74106441257932
2023-10-01,81.16421634737516
2023-11-01,78.16470264388094
2023-12-01,75.72347915463874
2024-01-01,73.62534247712777
2024-02-01,76.85347291844572
2024-03-01,74.60086238569141
2024-04-01,78.00282210259492
2024-05-01,100.29126749122732
2024-06-01,101.73327806068524
2024-07-01,104.47583655011245
2024-08-01,97.60287781026558
2024-09-01,89.60576949057601
2024-10-01,80.62643782404663
2024-11-01,75.1529441043404
2024-12-01,73.24668839054169
2025-01-01,73.26345445612098
2025-02-01,73.27259454149858
2025-03-01,91.01375022343245
2025-04-01,85.66058091746609
2025-05-01,89.75597991017406
2025-06-01,88.64792966338246
2025-07-01,86.00015432779075
2025-08-01,77.01733436523696
2025-09-01,84.08602711577346
2025-10-01,78.6846751341902
2025-11-01,81.71548418224998
2025-12-01,77.26796507450585
2026-01-01,79.84162020102421
2026-02-01,76.08607951492655
2026-03-01,78.66770414717067
2026-04-01,82.35930827961234
2026-05-01,96.42489862629593
