Fecha,P42_2_Predicho
2022-07-01,217.949
2022-08-01,224.718
2022-09-01,219.842
2022-10-01,221.86
2022-11-01,234.587
2022-12-01,247.363
2023-01-01,261.961
2023-02-01,249.503
2023-03-01,257.039
2023-04-01,264.575
2023-05-01,256.97
2023-06-01,282.335
