Fecha,P43_33_Predicho
2023-07-01,149.18329938586123
2023-08-01,146.54063969074156
2023-09-01,139.54875829446806
2023-10-01,121.81428770167616
2023-11-01,100.01919684820858
2023-12-01,74.56163961621664
2024-01-01,75.1452658326755
2024-02-01,71.6079683668552
2024-03-01,95.05583279992416
2024-04-01,99.26260910340434
2024-05-01,102.6089994942487
2024-06-01,104.57897635423083
2024-07-01,105.95752056273068
2024-08-01,109.98271291530962
2024-09-01,108.77398595642748
2024-10-01,90.51801816956946
2024-11-01,88.60529090177606
2024-12-01,86.08693892421854
2025-01-01,81.6612664402773
2025-02-01,84.25402958142357
2025-03-01,96.13861899907425
2025-04-01,104.04711247060025
2025-05-01,105.83808689938913
2025-06-01,111.82912764442595
